                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 2.3268,                 2.5652,                 2.9943,                0.61063,                0.33333,                0.14381,                0.02227,                 3.4165,                 8.5479,                 5.2286,               0.001425,               0.001425,               0.001425
                     46,                 2.2713,                 2.4573,                  2.819,                0.07647,                0.79167,                0.11153,                0.01551,                 3.3637,                 8.3571,                 5.6523,              0.0014195,              0.0014195,              0.0014195
                     47,                 2.1561,                 2.3741,                 2.8081,                 0.5777,                  0.375,                0.11439,                0.01596,                 3.3131,                 12.621,                 6.0025,              0.0014139,              0.0014139,              0.0014139
                     48,                 2.1524,                 2.4529,                 2.8078,                 0.5777,                  0.375,                0.11439,                0.01596,                 3.3131,                 12.621,                 6.0025,              0.0014084,              0.0014084,              0.0014084
                     49,                  2.223,                  2.351,                 2.8099,                0.52651,                  0.375,                0.09407,                0.01368,                 3.2561,                 33.459,                   7.02,              0.0014029,              0.0014029,              0.0014029
                     50,                 2.1876,                 2.5241,                 2.7537,                0.52161,                   0.25,                0.06461,                0.00964,                 3.0881,                 30.852,                 6.1491,              0.0013974,              0.0013974,              0.0013974
                     51,                  2.194,                 2.2991,                 2.8192,                  0.547,                  0.375,                0.07003,                0.00931,                 3.0284,                 13.747,                 5.1566,              0.0013919,              0.0013919,              0.0013919
                     52,                 2.1556,                 2.2567,                 2.9104,                  0.547,                  0.375,                0.07003,                0.00931,                 3.0284,                 13.747,                 5.1566,              0.0013864,              0.0013864,              0.0013864
                     53,                 2.1101,                 2.1458,                 2.7513,                0.60988,                   0.25,                0.11249,                0.01871,                 2.6967,                 6.9281,                 4.0027,              0.0013809,              0.0013809,              0.0013809
                     54,                 1.9819,                 2.2576,                 2.7735,                0.64092,                   0.25,                 0.1532,                0.02683,                 2.4998,                 5.2592,                  3.329,              0.0013754,              0.0013754,              0.0013754
                     55,                 2.0502,                 2.3416,                 2.7757,                0.60889,                   0.25,                0.14921,                0.03659,                 2.3278,                 4.9939,                 3.0736,              0.0013699,              0.0013699,              0.0013699
                     56,                 2.1611,                 2.2728,                 2.7985,                0.60889,                   0.25,                0.14921,                0.03659,                 2.3278,                 4.9939,                 3.0736,              0.0013644,              0.0013644,              0.0013644
                     57,                 2.1035,                 2.3025,                 2.8117,                0.60293,                  0.375,                0.18643,                0.04141,                 2.5289,                 6.3424,                 3.0605,              0.0013589,              0.0013589,              0.0013589
                     58,                 2.2201,                 2.5169,                  2.792,                0.67499,                0.47318,                0.52853,                0.12356,                 2.1477,                 9.9745,                 2.9263,              0.0013534,              0.0013534,              0.0013534
                     59,                 2.1034,                 2.2813,                 2.7937,                0.57723,                  0.375,                0.36857,                0.10212,                 2.0309,                 12.292,                 2.9513,              0.0013479,              0.0013479,              0.0013479
                     60,                 2.1157,                 2.3049,                  2.722,                0.57723,                  0.375,                0.36857,                0.10212,                 2.0309,                 12.292,                 2.9513,              0.0013424,              0.0013424,              0.0013424
                     61,                  2.025,                 2.2371,                  2.702,                0.59988,                  0.375,                0.16128,                0.05359,                 2.3507,                 15.508,                  3.331,              0.0013369,              0.0013369,              0.0013369
                     62,                  2.075,                 2.3014,                 2.7463,                0.52933,                  0.375,                0.05896,                0.01757,                 2.8039,                 17.405,                 4.0036,              0.0013314,              0.0013314,              0.0013314
                     63,                 1.9232,                 2.3207,                 2.6881,                0.04991,                  0.625,                0.06806,                0.01695,                 3.0194,                 12.366,                 4.1457,              0.0013259,              0.0013259,              0.0013259
                     64,                 2.0581,                 2.2437,                 2.7075,                0.04991,                  0.625,                0.06806,                0.01695,                 3.0194,                 12.366,                 4.1457,              0.0013204,              0.0013204,              0.0013204
                     65,                 2.0407,                 2.2566,                  2.654,                0.12471,                0.83333,                0.21335,                0.06015,                 2.4638,                 4.7019,                 3.2071,              0.0013149,              0.0013149,              0.0013149
                     66,                 2.1856,                 2.2163,                 2.7875,                0.34443,                0.45833,                0.46966,                0.12347,                 2.4189,                 3.1915,                  3.031,              0.0013094,              0.0013094,              0.0013094
                     67,                 2.1614,                 2.2081,                 2.6698,                    0.5,                0.24845,                0.45385,                0.15429,                 2.4902,                 3.2669,                 3.1758,              0.0013039,              0.0013039,              0.0013039
                     68,                 1.9529,                 2.0165,                 2.5949,                    0.5,                0.24845,                0.45385,                0.15429,                 2.4902,                 3.2669,                 3.1758,              0.0012984,              0.0012984,              0.0012984
                     69,                 2.0714,                 2.4194,                 2.7006,                0.39896,                  0.375,                0.45717,                0.14647,                 2.4242,                 3.6659,                 3.2299,              0.0012929,              0.0012929,              0.0012929
                     70,                  2.119,                 2.2217,                  2.703,                0.39677,                  0.875,                0.43754,                0.13647,                  2.517,                 4.3016,                 3.2568,              0.0012874,              0.0012874,              0.0012874
                     71,                 2.1349,                 2.2271,                 2.7008,                0.53672,                0.66236,                0.56681,                0.12023,                 2.7059,                 4.7308,                 3.4187,              0.0012819,              0.0012819,              0.0012819
                     72,                 1.9973,                 2.1572,                 2.6768,                0.53672,                0.66236,                0.56681,                0.12023,                 2.7059,                 4.7308,                 3.4187,              0.0012764,              0.0012764,              0.0012764
                     73,                 2.0484,                 2.2402,                 2.6573,                0.44477,                0.65916,                0.46932,                 0.1036,                 2.8838,                 4.9317,                 3.5583,              0.0012709,              0.0012709,              0.0012709
                     74,                 2.0622,                 2.1481,                 2.7007,                0.15827,                  0.375,                0.24727,                0.05361,                 2.8982,                 4.6227,                 3.5581,              0.0012654,              0.0012654,              0.0012654
                     75,                 1.9489,                  2.056,                 2.5305,                0.73025,                  0.375,                0.29155,                0.05583,                    2.9,                 4.7321,                  3.675,              0.0012599,              0.0012599,              0.0012599
                     76,                 1.8645,                  2.008,                  2.466,                0.73025,                  0.375,                0.29155,                0.05583,                    2.9,                 4.7321,                  3.675,              0.0012544,              0.0012544,              0.0012544
                     77,                 1.9514,                 2.0329,                 2.5937,                 0.7333,                  0.375,                0.20781,                0.04648,                 2.9286,                 3.6789,                 3.6963,              0.0012489,              0.0012489,              0.0012489
                     78,                 2.0006,                 2.0811,                 2.6285,                0.10197,                0.33333,                0.11587,                 0.0365,                 2.9088,                 3.0297,                 3.6164,              0.0012434,              0.0012434,              0.0012434
                     79,                 1.9634,                 2.1577,                 2.5981,                0.21213,                  0.375,                0.16878,                0.03275,                 2.8948,                 3.0519,                  3.505,              0.0012379,              0.0012379,              0.0012379
                     80,                 1.9278,                 2.0345,                 2.5221,                0.21213,                  0.375,                0.16878,                0.03275,                 2.8948,                 3.0519,                  3.505,              0.0012324,              0.0012324,              0.0012324
                     81,                 2.1149,                 2.1519,                 2.6381,                0.25751,                0.45833,                0.39477,                0.11673,                 2.9746,                  3.075,                 3.5194,              0.0012269,              0.0012269,              0.0012269
                     82,                 2.0265,                 2.1864,                   2.65,                0.46971,                  0.375,                0.40491,                0.12016,                  2.781,                 3.1126,                 3.3703,              0.0012214,              0.0012214,              0.0012214
                     83,                 1.9992,                 1.9265,                 2.6005,                 0.7448,                  0.375,                0.32356,                0.07454,                 2.0278,                  3.534,                  2.822,              0.0012159,              0.0012159,              0.0012159
                     84,                  1.919,                 1.9517,                 2.5339,                 0.7448,                  0.375,                0.32356,                0.07454,                 2.0278,                  3.534,                  2.822,              0.0012104,              0.0012104,              0.0012104
